Temps,Voie A,Voie B,Voie C
(ns),(mV),(mV),(mV)

640000,0,0,3
641000,1,0,1
642000,0,0,0
643000,0,0,0
644000,0,0,0
645000,1,0,0
646000,0,0,0
647000,0,0,1
648000,0,0,0
649000,-1,0,0
650000,0,0,1
651000,0,0,0
652000,0,1,0
653000,1,0,0
654000,0,1,0
655000,0,1,0
656000,0,0,1
657000,0,-1,0
658000,0,0,1
659000,0,1,0
660000,0,0,0
661000,0,0,1
662000,0,0,0
663000,0,0,0
664000,0,0,0
665000,0,0,0
666000,0,0,1
667000,0,1,0
668000,0,1,0
669000,0,0,0
670000,0,1,0
671000,1,0,0
672000,0,1,0
673000,0,0,0
674000,0,0,0
675000,0,1,0
676000,0,1,0
677000,0,1,0
678000,0,0,0
679000,0,0,0
680000,-1,0,0
681000,0,0,0
682000,-1,0,1
683000,0,0,0
684000,0,0,1
685000,0,0,3
686000,0,0,1
687000,0,0,0
688000,0,0,0
689000,0,0,1
690000,0,0,1
691000,-1,0,1
692000,0,0,0
693000,0,0,0
694000,0,0,1
695000,0,1,1
696000,1,0,0
697000,0,0,1
698000,0,1,1
699000,0,-1,0
700000,0,0,1
701000,0,0,1
702000,0,1,1
703000,0,1,1
704000,0,0,0
705000,-1,1,1
706000,1,0,0
707000,0,1,0
708000,0,0,1
709000,0,0,0
710000,0,0,1
711000,0,0,0
712000,0,0,1
713000,-1,0,0
714000,-1,1,0
715000,0,0,0
716000,0,0,1
717000,1,1,0
718000,0,0,1
719000,0,1,0
720000,0,0,1
721000,0,1,0
722000,1,0,0
723000,0,1,0
724000,1,0,0
725000,0,0,1
726000,0,0,1
727000,-1,0,0
728000,1,0,1
729000,0,1,0
730000,0,0,0
731000,0,1,1
732000,0,1,0
733000,0,0,0
734000,0,0,0
735000,0,1,1
736000,0,1,0
737000,1,0,0
738000,0,0,0
739000,0,0,1
740000,0,1,0
741000,-1,0,0
742000,0,0,0
743000,0,0,0
744000,0,0,1
745000,0,0,0
746000,0,1,0
747000,0,1,0
748000,0,1,0
749000,0,1,0
750000,1,0,0
751000,0,0,1
752000,0,0,0
753000,0,1,0
754000,0,0,0
755000,0,1,1
756000,0,0,0
757000,1,0,0
758000,0,1,1
759000,0,0,1
760000,0,0,1
761000,0,1,0
762000,0,0,0
763000,-1,0,1
764000,0,0,0
765000,0,0,0
766000,0,1,0
767000,0,0,0
768000,0,0,0
769000,1,1,0
770000,1,0,0
771000,0,1,0
772000,0,0,3
773000,0,0,0
774000,1,0,1
775000,0,0,0
776000,0,0,0
777000,0,0,0
778000,0,1,0
779000,0,1,0
780000,0,1,0
781000,0,0,0
782000,-1,0,1
783000,1,0,0
784000,1,0,1
785000,0,0,3
786000,0,0,1
787000,0,0,0
788000,0,0,0
789000,1,1,0
790000,0,0,1
791000,0,0,0
792000,-1,0,0
793000,1,0,0
794000,0,0,0
795000,0,0,1
796000,0,1,0
797000,0,0,1
798000,0,0,0
799000,0,0,0
800000,0,1,0
801000,-1,0,0
802000,0,1,1
803000,0,0,0
804000,0,1,1
805000,-1,1,0
806000,0,0,0
807000,0,0,0
808000,0,0,0
809000,0,0,0
810000,0,1,0
811000,0,-1,1
812000,0,1,0
813000,0,1,0
814000,0,0,1
815000,0,0,0
816000,0,0,0
817000,0,1,1
818000,0,1,0
819000,0,0,0
820000,0,0,0
821000,0,1,1
822000,0,1,0
823000,0,1,0
824000,0,1,0
825000,0,0,1
826000,0,0,1
827000,0,0,0
828000,-1,0,0
829000,-1,0,0
830000,1,1,0
831000,0,1,0
832000,0,0,0
833000,0,0,1
834000,0,0,0
835000,0,1,1
