For each of the 4 Channels, results shown are....
Time interval Maximum Aggregated value ADC Count & mV, Minimum Aggregated value ADC Count & mV

Time   Ch  Max ADC    Max mV   Min ADC    Min mV   
 1372  ChA       0         0         0         0   
 1376  ChA       0         0         0         0   
 1380  ChA       0         0         0         0   
 1384  ChA    -152         0         0         0   
 1388  ChA       0         0         0         0   
 1392  ChA       0         0         0         0   
 1396  ChA       0         0         0         0   
 1400  ChA       0         0         0         0   
 1404  ChA       0         0         0         0   
 1408  ChA       0         0         0         0   
 1412  ChA       0         0         0         0   
 1416  ChA       0         0         0         0   
 1420  ChA       0         0         0         0   
 1424  ChA       0         0         0         0   
 1428  ChA       0         0         0         0   
 1432  ChA       0         0         0         0   
 1436  ChA       0         0         0         0   
 1440  ChA       0         0         0         0   
 1444  ChA       0         0         0         0   
 1448  ChA       0         0         0         0   
 1452  ChA       0         0         0         0   
 1456  ChA       0         0         0         0   
 1460  ChA       0         0         0         0   
 1464  ChA       0         0         0         0   
 1468  ChA       0         0         0         0   
 1472  ChA       0         0         0         0   
 1476  ChA       0         0         0         0   
 1480  ChA       0         0         0         0   
 1484  ChA       0         0         0         0   
 1488  ChA       0         0         0         0   
 1492  ChA       0         0         0         0   
 1496  ChA       0         0         0         0   
 1500  ChA       0         0         0         0   
 1504  ChA       0         0         0         0   
 1508  ChA       0         0         0         0   
 1512  ChA       0         0         0         0   
 1516  ChA       0         0         0         0   
 1520  ChA       0         0         0         0   
 1524  ChA       0         0         0         0   
 1528  ChA       0         0         0         0   
 1532  ChA       0         0         0         0   
 1536  ChA    -152         0         0         0   
 1540  ChA       0         0         0         0   
 1544  ChA    -152         0         0         0   
 1548  ChA       0         0         0         0   
 1552  ChA       0         0         0         0   
 1556  ChA    -152         0         0         0   
 1560  ChA       0         0         0         0   
 1564  ChA       0         0         0         0   
 1568  ChA       0         0         0         0   
 1572  ChA       0         0         0         0   
 1576  ChA       0         0         0         0   
 1580  ChA       0         0         0         0   
 1584  ChA       0         0         0         0   
 1588  ChA       0         0         0         0   
 1592  ChA    -152         0         0         0   
 1596  ChA       0         0         0         0   
 1600  ChA       0         0         0         0   
 1604  ChA       0         0         0         0   
 1608  ChA       0         0         0         0   
 1612  ChA       0         0         0         0   
 1616  ChA       0         0         0         0   
 1620  ChA       0         0         0         0   
 1624  ChA    -152         0         0         0   
 1628  ChA       0         0         0         0   
 1632  ChA       0         0         0         0   
 1636  ChA       0         0         0         0   
 1640  ChA    -152         0         0         0   
 1644  ChA       0         0         0         0   
 1648  ChA       0         0         0         0   
 1652  ChA       0         0         0         0   
 1656  ChA       0         0         0         0   
 1660  ChA       0         0         0         0   
 1664  ChA       0         0         0         0   
 1668  ChA       0         0         0         0   
 1672  ChA    -152         0         0         0   
 1676  ChA       0         0         0         0   
 1680  ChA       0         0         0         0   
 1684  ChA       0         0         0         0   
 1688  ChA    -152         0         0         0   
 1692  ChA       0         0         0         0   
 1696  ChA    -152         0         0         0   
 1700  ChA       0         0         0         0   
 1704  ChA       0         0         0         0   
 1708  ChA       0         0         0         0   
 1712  ChA    -152         0         0         0   
